address,block,validity,multisig,option,importance
NBCIMDLY7RUQF3WCOJG4DCLX5LFFIST6OOJG5MJH,1539097,Valid,false,yes,0
NCJYFKLE2ESK5CYJA2VFPYBHKDXXRTL4E4F7DFCK,1539090,Valid,false,yes,0
NAURKJRXU6Q6DDP5PLKHW6UYCOQOJTIXDXRXFVSF,1539084,Valid,false,yes,0.000015314543159631065
NBYTHP3NFAWQTUVYN4NANBGVQGUUJEWS47BPDJBB,1539063,Valid,false,yes,0.000025346117345141058
NDLHFMW7DWMNBNQTX5EXFZDBC6EDLNIZ6HTHO4BI,1532386,Multiple Vote,false,yes,0.000009633287172386547
NDVTLX3ASU3A6SOA6KTDMLII4QKNTIM6YOYVREA4,1531588,Multiple Vote,false,yes,0.000010085376306187436
NBBDJ3PLBYWWWKO3FQGOR4DKU5JTB4L5767MCJKN,1539029,Multiple Vote,false,no,0
NCA3T3VPJWQMUUTQIWHVCOZHC4ANH6BROK77RITB,1539030,Valid,false,yes,0
NACOBQXJDHUHDSWESKQOTAZLC3C34QCHQ52X76CI,1539029,Valid,false,yes,0.0000103510216819242
NCNSPI5KYJLHZCJK3OKA2FA7Y37BLGEOTCJETPC5,1539029,Valid,false,yes,0
NBPBKYXG47OW4LVWWF6ENETBBXGZT7OU7W2OILYM,1539028,Valid,false,yes,0
NDSUWOTWGKLK523YLIYWVFKK7Y2IVOCSJ7QQ6KJP,1539028,Valid,false,yes,0.000009733221575589196
NCY672SPREWKQV3PDUH5L2R457MIIN7CNOYHHGL7,1539008,Valid,false,yes,0.0000445807458533502
NBGLSRDWSI35WHOGRGVAQDTEIOS4H2XS3MLQVKAG,1538990,Valid,false,yes,0
NAIWDZ4NHSMVOHBFM54PSPQJJDMQLN3WQI52GTIR,1531657,Multiple Vote,false,yes,0
NBQVCQF5AP54BUIN6LD6LQS7XQN37E5S7FYEG5R4,1531710,Multiple Vote,false,yes,0
NDDIHO4GBQ7OLEP2MSJJJJKFNUX5BTPB2JNAYFEJ,1538900,Valid,false,yes,0.00034202677990490714
NC7ONX367XHMDHLMIOD4HRSP6G45QOSREEMNYQQW,1538898,Valid,false,yes,0
